.entry _Z12mul_mat_q5_0ILb0EEvPKvS1_Pfiiiii
.param .u64 _Z12mul_mat_q5_0ILb0EEvPKvS1_Pfiiiii_param_0,
.param .u64 _Z12mul_mat_q5_0ILb0EEvPKvS1_Pfiiiii_param_1,
.param .u64 _Z12mul_mat_q5_0ILb0EEvPKvS1_Pfiiiii_param_2,
.param .u32 _Z12mul_mat_q5_0ILb0EEvPKvS1_Pfiiiii_param_3,
.param .u32 _Z12mul_mat_q5_0ILb0EEvPKvS1_Pfiiiii_param_4,
.param .u32 _Z12mul_mat_q5_0ILb0EEvPKvS1_Pfiiiii_param_5,
.param .u32 _Z12mul_mat_q5_0ILb0EEvPKvS1_Pfiiiii_param_6,
.param .u32 _Z12mul_mat_q5_0ILb0EEvPKvS1_Pfiiiii_param_7
)
{
.reg .pred %p<101>;
.reg .b16 %rs<85>;
.reg .f32 %f<1105>;
.reg .b32 %r<5230>;
.reg .b64 %rd<421>;

	.shared .align 4 .b8 _ZZN43_INTERNAL_25a57f3b_12_ggml_cuda_cu_2317e5a69mul_mat_qILi32ELi2ELi4ELb0E10block_q5_0Li128ELi64ELi4EXadL_ZNS_19allocate_tiles_q5_0ILi64EEEvPPiPP7__half2S4_S4_EEXadL_ZNS_15load_tiles_q5_0ILi64ELi4ELb0EEEvPKvS3_S6_S3_S3_RKiSC_SC_SC_EELi4EXadL_ZNS_25vec_dot_q5_0_q8_1_mul_matEPSB_PKS5_SD_SD_SD_SF_SC_SC_SC_EEEEvSA_SA_PfiiiiiE9tile_y_qs[16384];

	.shared .align 4 .b8 _ZZN43_INTERNAL_25a57f3b_12_ggml_cuda_cu_2317e5a69mul_mat_qILi32ELi2ELi4ELb0E10block_q5_0Li128ELi64ELi4EXadL_ZNS_19allocate_tiles_q5_0ILi64EEEvPPiPP7__half2S4_S4_EEXadL_ZNS_15load_tiles_q5_0ILi64ELi4ELb0EEEvPKvS3_S6_S3_S3_RKiSC_SC_SC_EELi4EXadL_ZNS_25vec_dot_q5_0_q8_1_mul_matEPSB_PKS5_SD_SD_SD_SF_SC_SC_SC_EEEEvSA_SA_PfiiiiiE9tile_y_ds[2048];

ld.param.u64 %rd38, [_Z12mul_mat_q5_0ILb0EEvPKvS1_Pfiiiii_param_0];
ld.param.u64 %rd39, [_Z12mul_mat_q5_0ILb0EEvPKvS1_Pfiiiii_param_1];
ld.param.u32 %r88, [_Z12mul_mat_q5_0ILb0EEvPKvS1_Pfiiiii_param_3];
ld.param.u32 %r85, [_Z12mul_mat_q5_0ILb0EEvPKvS1_Pfiiiii_param_5];
ld.param.u32 %r86, [_Z12mul_mat_q5_0ILb0EEvPKvS1_Pfiiiii_param_6];
not.b32 t,t; 
and.b32 r,r,t; 
or.b32 r,r,s; 
mov.b32 %r201,r; 
}

	st.shared.u32 [%r339+4160], %r201;
shr.u32 %r457, %r442, 4;
and.b32 %r458, %r457, 252645135;
shr.u32 %r459, %r444, 12;
and.b32 %r460, %r459, 16;
or.b32 %r461, %r460, %r458;
shr.u32 %r462, %r444, 5;
and.b32 %r463, %r462, 4096;
or.b32 %r464, %r461, %r463;
shl.b32 %r465, %r444, 2;
and.b32 %r466, %r465, 1048576;
or.b32 %r467, %r464, %r466;
shl.b32 %r468, %r444, 9;
and.b32 %r469, %r468, 268435456;
or.b32 %r205, %r467, %r469;

	{ 
.reg .u32 a,b,r,s,t,u,v,w; 
mov.b32 a,%r205; 
mov.b32 b,%r272; 
not.b32 u,b; 
xor.b32 s,u,a; 
or.b32 r,a,0x80808080;
and.b32 t,b,0x7f7f7f7f;
sub.u32 r,r,t; 
xor.b32 t,r,a; 
not.b32 u,s; 
and.b32 s,s,0x80808080;
xor.b32 r,r,s; 
and.b32 t,t,u; 
prmt.b32 s,a,0,0xba98; 
xor.b32 s,s,0x7f7f7f7f;
prmt.b32 t,t,0,0xba98; 
and.b32 s,s,t; 
not.b32 t,t; 
and.b32 r,r,t; 
or.b32 r,r,s; 
mov.b32 %r204,r; 
}

	st.shared.u32 [%r339+4164], %r204;
add.s32 %r470, %r441, %r353;
cvt.s64.s32 %rd74, %r470;
add.s64 %rd75, %rd48, %rd74;
mul.lo.s64 %rd76, %rd75, 22;
add.s64 %rd77, %rd43, %rd76;
add.s64 %rd78, %rd77, %rd41;
ld.global.nc.u16 %rs33, [%rd78+6];
ld.global.nc.u16 %rs34, [%rd78+8];
mov.b32 %r471, {%rs33, %rs34};
ld.global.nc.u16 %rs35, [%rd77+2];
ld.global.nc.u16 %rs36, [%rd77+4];
mov.b32 %r472, {%rs35, %rs36};
shr.s32 %r473, %r472, %r281;
and.b32 %r474, %r471, 252645135;
shl.b32 %r475, %r473, 4;
and.b32 %r476, %r475, 16;
or.b32 %r477, %r476, %r474;
shl.b32 %r478, %r473, 11;
and.b32 %r479, %r478, 4096;
or.b32 %r480, %r477, %r479;
shl.b32 %r481, %r473, 18;
and.b32 %r482, %r481, 1048576;
or.b32 %r483, %r480, %r482;
shl.b32 %r484, %r473, 25;
and.b32 %r485, %r484, 268435456;
or.b32 %r208, %r483, %r485;

	{ 
.reg .u32 a,b,r,s,t,u,v,w; 
mov.b32 a,%r208; 
mov.b32 b,%r272; 
not.b32 u,b; 
xor.b32 s,u,a; 
or.b32 r,a,0x80808080;
and.b32 t,b,0x7f7f7f7f;
sub.u32 r,r,t; 
xor.b32 t,r,a; 
not.b32 u,s; 
and.b32 s,s,0x80808080;
xor.b32 r,r,s; 
and.b32 t,t,u; 
prmt.b32 s,a,0,0xba98; 
xor.b32 s,s,0x7f7f7f7f;
prmt.b32 t,t,0,0xba98; 
and.b32 s,s,t; 
not.b32 t,t; 
and.b32 r,r,t; 
or.b32 r,r,s; 
mov.b32 %r207,r; 
}

	st.shared.u32 [%r339+5200], %r207;
shr.u32 %r486, %r471, 4;
and.b32 %r487, %r486, 252645135;
shr.u32 %r488, %r473, 12;
and.b32 %r489, %r488, 16;
or.b32 %r490, %r489, %r487;
shr.u32 %r491, %r473, 5;
and.b32 %r492, %r491, 4096;
or.b32 %r493, %r490, %r492;
shl.b32 %r494, %r473, 2;
and.b32 %r495, %r494, 1048576;
or.b32 %r496, %r493, %r495;
shl.b32 %r497, %r473, 9;
and.b32 %r498, %r497, 268435456;
or.b32 %r211, %r496, %r498;

	{ 
.reg .u32 a,b,r,s,t,u,v,w; 
mov.b32 a,%r211; 
mov.b32 b,%r272; 
not.b32 u,b; 
xor.b32 s,u,a; 
or.b32 r,a,0x80808080;
and.b32 t,b,0x7f7f7f7f;
sub.u32 r,r,t; 
xor.b32 t,r,a; 
not.b32 u,s; 
and.b32 s,s,0x80808080;
xor.b32 r,r,s; 
and.b32 t,t,u; 
prmt.b32 s,a,0,0xba98; 
xor.b32 s,s,0x7f7f7f7f;
prmt.b32 t,t,0,0xba98; 
and.b32 s,s,t; 
not.b32 t,t; 
and.b32 r,r,t; 
or.b32 r,r,s; 
mov.b32 %r210,r; 
}

	st.shared.u32 [%r339+5204], %r210;
add.s32 %r499, %r470, %r353;
cvt.s64.s32 %rd79, %r499;
add.s64 %rd80, %rd48, %rd79;
mul.lo.s64 %rd81, %rd80, 22;
add.s64 %rd82, %rd43, %rd81;
add.s64 %rd83, %rd82, %rd41;
ld.global.nc.u16 %rs37, [%rd83+6];
ld.global.nc.u16 %rs38, [%rd83+8];
mov.b32 %r500, {%rs37, %rs38};
ld.global.nc.u16 %rs39, [%rd82+2];
ld.global.nc.u16 %rs40, [%rd82+4];
mov.b32 %r501, {%rs39, %rs40};
shr.s32 %r502, %r501, %r281;
and.b32 %r503, %r500, 252645135;
shl.b32 %r504, %r502, 4;
and.b32 %r505, %r504, 16;
or.b32 %r506, %r505, %r503;
shl.b32 %r507, %r502, 11;
and.b32 %r508, %r507, 4096;
or.b32 %r509, %r506, %r508;
shl.b32 %r510, %r502, 18;
and.b32 %r511, %r510, 1048576;
or.b32 %r512, %r509, %r511;
shl.b32 %r513, %r502, 25;
and.b32 %r514, %r513, 268435456;
or.b32 %r214, %r512, %r514;

	{ 
.reg .u32 a,b,r,s,t,u,v,w; 
mov.b32 a,%r214; 
mov.b32 b,%r272; 
not.b32 u,b; 
xor.b32 s,u,a; 
or.b32 r,a,0x80808080;
and.b32 t,b,0x7f7f7f7f;
sub.u32 r,r,t; 
xor.b32 t,r,a; 
not.b32 u,s; 
and.b32 s,s,0x80808080;
xor.b32 r,r,s; 
and.b32 t,t,u; 
prmt.b32 s,a,0,0xba98; 
xor.b32 s,s,0x7f7f7f7f;
prmt.b32 t,t,0,0xba98; 
and.b32 s,s,t; 
not.b32 t,t; 
and.b32 r,r,t; 
or.b32 r,r,s; 
mov.b32 %r213,r; 
}

	st.shared.u32 [%r339+6240], %r213;
shr.u32 %r515, %r500, 4;
and.b32 %r516, %r515, 252645135;
shr.u32 %r517, %r502, 12;
and.b32 %r518, %r517, 16;
or.b32 %r519, %r518, %r516;
shr.u32 %r520, %r502, 5;
and.b32 %r521, %r520, 4096;
or.b32 %r522, %r519, %r521;
shl.b32 %r523, %r502, 2;
and.b32 %r524, %r523, 1048576;
or.b32 %r525, %r522, %r524;
shl.b32 %r526, %r502, 9;
and.b32 %r527, %r526, 268435456;
or.b32 %r217, %r525, %r527;

	{ 
.reg .u32 a,b,r,s,t,u,v,w; 
mov.b32 a,%r217; 
mov.b32 b,%r272; 
not.b32 u,b; 
xor.b32 s,u,a; 
or.b32 r,a,0x80808080;
and.b32 t,b,0x7f7f7f7f;
sub.u32 r,r,t; 
xor.b32 t,r,a; 
not.b32 u,s; 
and.b32 s,s,0x80808080;
xor.b32 r,r,s; 
and.b32 t,t,u; 
prmt.b32 s,a,0,0xba98; 
xor.b32 s,s,0x7f7f7f7f;
prmt.b32 t,t,0,0xba98; 
and.b32 s,s,t; 
not.b32 t,t; 
and.b32 r,r,t; 
or.b32 r,r,s; 
mov.b32 %r216,r; 
}

	st.shared.u32 [%r339+6244], %r216;
add.s32 %r528, %r499, %r353;
cvt.s64.s32 %rd84, %r528;
add.s64 %rd85, %rd48, %rd84;
mul.lo.s64 %rd86, %rd85, 22;
add.s64 %rd87, %rd43, %rd86;
add.s64 %rd88, %rd87, %rd41;
ld.global.nc.u16 %rs41, [%rd88+6];
ld.global.nc.u16 %rs42, [%rd88+8];
mov.b32 %r529, {%rs41, %rs42};
ld.global.nc.u16 %rs43, [%rd87+2];
ld.global.nc.u16 %rs44, [%rd87+4];
mov.b32 %r530, {%rs43, %rs44};
shr.s32 %r531, %r530, %r281;
and.b32 %r532, %r529, 252645135;
shl.b32 %r533, %r531, 4;
and.b32 %r534, %r533, 16;
or.b32 %r535, %r534, %r532;
shl.b32 %r536, %r531, 11;
and.b32 %r537, %r536, 4096;
or.b32 %r538, %r535, %r537;
shl.b32 %r539, %r531, 18;
and.b32 %r540, %r539, 1048576;
or.b32 %r541, %r538, %r540;
shl.b32 %r542, %r531, 25;
and.b32 %r543, %r542, 268435456;
or.b32 %r220, %r541, %r543;

	{ 
.reg .u32 a,b,r,s,t,u,v,w; 
mov.b32 a,%r220; 
mov.b32 b,%r272; 
not.b32 u,b; 
xor.b32 s,u,a; 
or.b32 r,a,0x80808080;
and.b32 t,b,0x7f7f7f7f;
sub.u32 r,r,t; 
xor.b32 t,r,a; 
not.b32 u,s; 
and.b32 s,s,0x80808080;
xor.b32 r,r,s; 
and.b32 t,t,u; 
prmt.b32 s,a,0,0xba98; 
xor.b32 s,s,0x7f7f7f7f;
prmt.b32 t,t,0,0xba98; 
and.b32 s,s,t; 
not.b32 t,t; 
and.b32 r,r,t; 
or.b32 r,r,s; 
mov.b32 %r219,r; 
}

	st.shared.u32 [%r339+7280], %r219;
shr.u32 %r544, %r529, 4;
and.b32 %r545, %r544, 252645135;
shr.u32 %r546, %r531, 12;
and.b32 %r547, %r546, 16;
or.b32 %r548, %r547, %r545;
shr.u32 %r549, %r531, 5;
and.b32 %r550, %r549, 4096;
or.b32 %r551, %r548, %r550;
shl.b32 %r552, %r531, 2;
and.b32 %r553, %r552, 1048576;
or.b32 %r554, %r551, %r553;
shl.b32 %r555, %r531, 9;
and.b32 %r556, %r555, 268435456;
or.b32 %r223, %r554, %r556;

	{ 
.reg .u32 a,b,r,s,t,u,v,w; 
mov.b32 a,%r223; 
mov.b32 b,%r272; 
not.b32 u,b; 
xor.b32 s,u,a; 
or.b32 r,a,0x80808080;
and.b32 t,b,0x7f7f7f7f;
sub.u32 r,r,t; 
xor.b32 t,r,a; 
not.b32 u,s; 
and.b32 s,s,0x80808080;
xor.b32 r,r,s; 
and.b32 t,t,u; 
prmt.b32 s,a,0,0xba98; 
xor.b32 s,s,0x7f7f7f7f;
prmt.b32 t,t,0,0xba98; 
and.b32 s,s,t; 
not.b32 t,t; 
and.b32 r,r,t; 
or.b32 r,r,s; 
mov.b32 %r222,r; 
}

	st.shared.u32 [%r339+7284], %r222;
add.s32 %r557, %r528, %r353;
cvt.s64.s32 %rd89, %r557;
add.s64 %rd90, %rd48, %rd89;
mul.lo.s64 %rd91, %rd90, 22;
add.s64 %rd92, %rd43, %rd91;
add.s64 %rd93, %rd92, %rd41;
ld.global.nc.u16 %rs45, [%rd93+6];
ld.global.nc.u16 %rs46, [%rd93+8];
mov.b32 %r558, {%rs45, %rs46};
ld.global.nc.u16 %rs47, [%rd92+2];
ld.global.nc.u16 %rs48, [%rd92+4];
mov.b32 %r559, {%rs47, %rs48};
shr.s32 %r560, %r559, %r281;
and.b32 %r561, %r558, 252645135;
shl.b32 %r562, %r560, 4;
and.b32 %r563, %r562, 16;
or.b32 %r564, %r563, %r561;
shl.b32 %r565, %r560, 11;
and.b32 %r566, %r565, 4096;
or.b32 %r567, %r564, %r566;
shl.b32 %r568, %r560, 18;
and.b32 %r569, %r568, 1048576;
or.b32 %r570, %r567, %r569;
shl.b32 %r571, %r560, 25;
and.b32 %r572, %r571, 268435456;
or.b32 %r226, %r570, %r572;

	{ 
.reg .u32 a,b,r,s,t,u,v,w; 
mov.b32 a,%r226; 
mov.b32 b,%r272; 
not.b32 u,b; 
xor.b32 s,u,a; 
or.b32 r,a,0x80808080;
and.b32 t,b,0x7f7f7f7f;
sub.u32 r,r,t; 
xor.b32 t,r,a; 
not.b32 u,s; 
and.b32 s,s,0x80808080;
xor.b32 r,r,s; 
and.b32 t,t,u; 
prmt.b32 s,a,0,0xba98; 
xor.b32 s,s,0x7f7f7f7f;
prmt.b32 t,t,0,0xba98; 
and.b32 s,s,t; 
not.b32 t,t; 
and.b32 r,r,t; 
or.b32 r,r,s; 
mov.b32 %r225,r; 
}

	st.shared.u32 [%r339+8320], %r225;
shr.u32 %r573, %r558, 4;
and.b32 %r574, %r573, 252645135;
shr.u32 %r575, %r560, 12;
and.b32 %r576, %r575, 16;
or.b32 %r577, %r576, %r574;
shr.u32 %r578, %r560, 5;
and.b32 %r579, %r578, 4096;
or.b32 %r580, %r577, %r579;
shl.b32 %r581, %r560, 2;
and.b32 %r582, %r581, 1048576;
or.b32 %r583, %r580, %r582;
shl.b32 %r584, %r560, 9;
and.b32 %r585, %r584, 268435456;
or.b32 %r229, %r583, %r585;

	{ 
.reg .u32 a,b,r,s,t,u,v,w; 
mov.b32 a,%r229; 
mov.b32 b,%r272; 
not.b32 u,b; 
xor.b32 s,u,a; 
or.b32 r,a,0x80808080;
and.b32 t,b,0x7f7f7f7f;
sub.u32 r,r,t; 
xor.b32 t,r,a; 
not.b32 u,s; 
and.b32 s,s,0x80808080;
xor.b32 r,r,s; 
and.b32 t,t,u; 
prmt.b32 s,a,0,0xba98; 
xor.b32 s,s,0x7f7f7f7f;
prmt.b32 t,t,0,0xba98; 
and.b32 s,s,t; 
not.b32 t,t; 
and.b32 r,r,t; 
or.b32 r,r,s; 
mov.b32 %r228,r; 
}

	st.shared.u32 [%r339+8324], %r228;
add.s32 %r586, %r557, %r353;
cvt.s64.s32 %rd94, %r586;
add.s64 %rd95, %rd48, %rd94;
mul.lo.s64 %rd96, %rd95, 22;
add.s64 %rd97, %rd43, %rd96;
add.s64 %rd98, %rd97, %rd41;
ld.global.nc.u16 %rs49, [%rd98+6];
ld.global.nc.u16 %rs50, [%rd98+8];
mov.b32 %r587, {%rs49, %rs50};
ld.global.nc.u16 %rs51, [%rd97+2];
ld.global.nc.u16 %rs52, [%rd97+4];
mov.b32 %r588, {%rs51, %rs52};
shr.s32 %r589, %r588, %r281;
and.b32 %r590, %r587, 252645135;
shl.b32 %r591, %r589, 4;
and.b32 %r592, %r591, 16;
or.b32 %r593, %r592, %r590;
shl.b32 %r594, %r589, 11;
and.b32 %r595, %r594, 4096;
or.b32 %r596, %r593, %r595;
shl.b32 %r597, %r589, 18;
and.b32 %r598, %r597, 1048576;
or.b32 %r599, %r596, %r598;
shl.b32 %r600, %r589, 25;
and.b32 %r601, %r600, 268435456;
or.b32 %r232, %r599, %r601;

	{ 
.reg .u32 a,b,r,s,t,u,v,w; 
mov.b32 a,%r232; 
mov.b32 b,%r272; 
not.b32 u,b; 
xor.b32 s,u,a; 
or.b32 r,a,0x80808080;
and.b32 t,b,0x7f7f7f7f;
sub.u32 r,r,t; 
xor.b32 t,r,a; 
not.b32 u,s; 
and.b32 s,s,0x80808080;
xor.b32 r,r,s; 
and.b32 t,t,u; 
prmt.b32 s,a,0,0xba98; 
xor.b32 s,s,0x7f7f7f7f;
prmt.b32 t,t,0,0xba98; 
and.b32 s,s,t; 
not.b32 t,t; 
and.b32 r,r,t; 
or.b32 r,r,s; 
mov.b32 %r231,r; 
}

	st.shared.u32 [%r339+9360], %r231;
shr.u32 %r602, %r587, 4;
and.b32 %r603, %r602, 252645135;
shr.u32 %r604, %r589, 12;
and.b32 %r605, %r604, 16;
or.b32 %r606, %r605, %r603;
shr.u32 %r607, %r589, 5;
and.b32 %r608, %r607, 4096;
or.b32 %r609, %r606, %r608;
shl.b32 %r610, %r589, 2;
and.b32 %r611, %r610, 1048576;
or.b32 %r612, %r609, %r611;
shl.b32 %r613, %r589, 9;
and.b32 %r614, %r613, 268435456;
or.b32 %r235, %r612, %r614;

	{ 
.reg .u32 a,b,r,s,t,u,v,w; 
mov.b32 a,%r235; 
mov.b32 b,%r272; 
not.b32 u,b; 
xor.b32 s,u,a; 
or.b32 r,a,0x80808080;
and.b32 t,b,0x7f7f7f7f;
sub.u32 r,r,t; 
xor.b32 t,r,a; 
not.b32 u,s; 
and.b32 s,s,0x80808080;
xor.b32 r,r,s; 
and.b32 t,t,u; 
prmt.b32 s,a,0,0xba98; 
xor.b32 s,s,0x7f7f7f7f;
prmt.b32 t,t,0,0xba98; 
and.b32 s,s,t; 
not.b32 t,t; 
and.b32 r,r,t; 
or.b32 r,r,s; 
mov.b32 %r234,r; 
}

	st.shared.u32 [%r339+9364], %r234;
add.s32 %r615, %r586, %r353;
cvt.s64.s32 %rd99, %r615;
add.s64 %rd100, %rd48, %rd99;
mul.lo.s64 %rd101, %rd100, 22;
add.s64 %rd102, %rd43, %rd101;
add.s64 %rd103, %rd102, %rd41;
ld.global.nc.u16 %rs53, [%rd103+6];
ld.global.nc.u16 %rs54, [%rd103+8];
mov.b32 %r616, {%rs53, %rs54};
ld.global.nc.u16 %rs55, [%rd102+2];
ld.global.nc.u16 %rs56, [%rd102+4];
mov.b32 %r617, {%rs55, %rs56};
shr.s32 %r618, %r617, %r281;
and.b32 %r619, %r616, 252645135;
shl.b32 %r620, %r618, 4;
and.b32 %r621, %r620, 16;
or.b32 %r622, %r621, %r619;
shl.b32 %r623, %r618, 11;
and.b32 %r624, %r623, 4096;
or.b32 %r625, %r622, %r624;
shl.b32 %r626, %r618, 18;
and.b32 %r627, %r626, 1048576;
or.b32 %r628, %r625, %r627;
shl.b32 %r629, %r618, 25;
and.b32 %r630, %r629, 268435456;
or.b32 %r238, %r628, %r630;

	{ 
.reg .u32 a,b,r,s,t,u,v,w; 
mov.b32 a,%r238; 
mov.b32 b,%r272; 
not.b32 u,b; 
xor.b32 s,u,a; 
or.b32 r,a,0x80808080;
and.b32 t,b,0x7f7f7f7f;
sub.u32 r,r,t; 
xor.b32 t,r,a; 
not.b32 u,s; 
and.b32 s,s,0x80808080;
xor.b32 r,r,s; 
and.b32 t,t,u; 
prmt.b32 s,a,0,0xba98; 
xor.b32 s,s,0x7f7f7f7f;
prmt.b32 t,t,0,0xba98; 
and.b32 s,s,t; 
not.b32 t,t; 
and.b32 r,r,t; 
or.b32 r,r,s; 
mov.b32 %r237,r; 
}

	st.shared.u32 [%r339+10400], %r237;
shr.u32 %r631, %r616, 4;
and.b32 %r632, %r631, 252645135;
shr.u32 %r633, %r618, 12;
and.b32 %r634, %r633, 16;
or.b32 %r635, %r634, %r632;
shr.u32 %r636, %r618, 5;
and.b32 %r637, %r636, 4096;
or.b32 %r638, %r635, %r637;
shl.b32 %r639, %r618, 2;
and.b32 %r640, %r639, 1048576;
or.b32 %r641, %r638, %r640;
shl.b32 %r642, %r618, 9;
and.b32 %r643, %r642, 268435456;
or.b32 %r241, %r641, %r643;

	{ 
.reg .u32 a,b,r,s,t,u,v,w; 
mov.b32 a,%r241; 
mov.b32 b,%r272; 
not.b32 u,b; 
xor.b32 s,u,a; 
or.b32 r,a,0x80808080;
and.b32 t,b,0x7f7f7f7f;
sub.u32 r,r,t; 
xor.b32 t,r,a; 
not.b32 u,s; 
and.b32 s,s,0x80808080;
xor.b32 r,r,s; 
and.b32 t,t,u; 
prmt.b32 s,a,0,0xba98; 
xor.b32 s,s,0x7f7f7f7f;
prmt.b32 t,t,0,0xba98; 
and.b32 s,s,t; 
not.b32 t,t; 
and.b32 r,r,t; 
or.b32 r,r,s; 
mov.b32 %r240,r; 
}

	st.shared.u32 [%r339+10404], %r240;
add.s32 %r644, %r615, %r353;
cvt.s64.s32 %rd104, %r644;
add.s64 %rd105, %rd48, %rd104;
mul.lo.s64 %rd106, %rd105, 22;
add.s64 %rd107, %rd43, %rd106;
add.s64 %rd108, %rd107, %rd41;
ld.global.nc.u16 %rs57, [%rd108+6];
ld.global.nc.u16 %rs58, [%rd108+8];
mov.b32 %r645, {%rs57, %rs58};
ld.global.nc.u16 %rs59, [%rd107+2];
ld.global.nc.u16 %rs60, [%rd107+4];
mov.b32 %r646, {%rs59, %rs60};
shr.s32 %r647, %r646, %r281;
and.b32 %r648, %r645, 252645135;
shl.b32 %r649, %r647, 4;
and.b32 %r650, %r649, 16;
or.b32 %r651, %r650, %r648;
shl.b32 %r652, %r647, 11;
and.b32 %r653, %r652, 4096;
or.b32 %r654, %r651, %r653;
shl.b32 %r655, %r647, 18;
and.b32 %r656, %r655, 1048576;
or.b32 %r657, %r654, %r656;
shl.b32 %r658, %r647, 25;
and.b32 %r659, %r658, 268435456;
or.b32 %r244, %r657, %r659;

	{ 
.reg .u32 a,b,r,s,t,u,v,w; 
mov.b32 a,%r244; 
mov.b32 b,%r272; 
not.b32 u,b; 
xor.b32 s,u,a; 
or.b32 r,a,0x80808080;
and.b32 t,b,0x7f7f7f7f;
sub.u32 r,r,t; 
xor.b32 t,r,a; 
not.b32 u,s; 
and.b32 s,s,0x80808080;
xor.b32 r,r,s; 
and.b32 t,t,u; 
prmt.b32 s,a,0,0xba98; 
xor.b32 s,s,0x7f7f7f7f;
prmt.b32 t,t,0,0xba98; 
and.b32 s,s,t; 
not.b32 t,t; 
and.b32 r,r,t; 
or.b32 r,r,s; 
mov.b32 %r243,r; 
}

	st.shared.u32 [%r339+11440], %r243;
shr.u32 %r660, %r645, 4;
and.b32 %r661, %r660, 252645135;
shr.u32 %r662, %r647, 12;
and.b32 %r663, %r662, 16;
or.b32 %r664, %r663, %r661;
shr.u32 %r665, %r647, 5;
and.b32 %r666, %r665, 4096;
or.b32 %r667, %r664, %r666;
shl.b32 %r668, %r647, 2;
and.b32 %r669, %r668, 1048576;
or.b32 %r670, %r667, %r669;
shl.b32 %r671, %r647, 9;
and.b32 %r672, %r671, 268435456;
or.b32 %r247, %r670, %r672;

	{ 
.reg .u32 a,b,r,s,t,u,v,w; 
mov.b32 a,%r247; 
mov.b32 b,%r272; 
not.b32 u,b; 
xor.b32 s,u,a; 
or.b32 r,a,0x80808080;
and.b32 t,b,0x7f7f7f7f;
sub.u32 r,r,t; 
xor.b32 t,r,a; 
not.b32 u,s; 
and.b32 s,s,0x80808080;
xor.b32 r,r,s; 
and.b32 t,t,u; 
prmt.b32 s,a,0,0xba98; 
xor.b32 s,s,0x7f7f7f7f;
prmt.b32 t,t,0,0xba98; 
and.b32 s,s,t; 
not.b32 t,t; 
and.b32 r,r,t; 
or.b32 r,r,s; 
mov.b32 %r246,r; 
}

	st.shared.u32 [%r339+11444], %r246;
add.s32 %r673, %r644, %r353;
cvt.s64.s32 %rd109, %r673;
add.s64 %rd110, %rd48, %rd109;
mul.lo.s64 %rd111, %rd110, 22;
add.s64 %rd112, %rd43, %rd111;
add.s64 %rd113, %rd112, %rd41;
ld.global.nc.u16 %rs61, [%rd113+6];
ld.global.nc.u16 %rs62, [%rd113+8];
mov.b32 %r674, {%rs61, %rs62};
ld.global.nc.u16 %rs63, [%rd112+2];
ld.global.nc.u16 %rs64, [%rd112+4];
mov.b32 %r675, {%rs63, %rs64};
shr.s32 %r676, %r675, %r281;
and.b32 %r677, %r674, 252645135;
shl.b32 %r678, %r676, 4;
and.b32 %r679, %r678, 16;
or.b32 %r680, %r679, %r677;
shl.b32 %r681, %r676, 11;
and.b32 %r682, %r681, 4096;
or.b32 %r683, %r680, %r682;
shl.b32 %r684, %r676, 18;
and.b32 %r685, %r684, 1048576;
or.b32 %r686, %r683, %r685;
shl.b32 %r687, %r676, 25;
and.b32 %r688, %r687, 268435456;
or.b32 %r250, %r686, %r688;

	{ 
.reg .u32 a,b,r,s,t,u,v,w; 
mov.b32 a,%r250; 
mov.b32 b,%r272; 
not.b32 u,b; 
xor.b32 s,u,a; 
or.b32 r,a,0x80808080;
and.b32 t,b,0x7f7f7f7f;
sub.u32 r,r,t; 
xor.b32 t,r,a; 
not.b32 u,s; 
and.b32 s,s,0x80808080;
xor.b32 r,r,s; 
and.b32 t,t,u; 
prmt.b32 s,a,0,0xba98; 
xor.b32 s,s,0x7f7f7f7f;
prmt.b32 t,t,0,0xba98; 
and.b32 s,s,t; 
not.b32 t,t; 
and.b32 r,r,t; 
or.b32 r,r,s; 
mov.b32 %r249,r; 
}

	st.shared.u32 [%r339+12480], %r249;
shr.u32 %r689, %r674, 4;
and.b32 %r690, %r689, 252645135;
shr.u32 %r691, %r676, 12;
and.b32 %r692, %r691, 16;
or.b32 %r693, %r692, %r690;
shr.u32 %r694, %r676, 5;
and.b32 %r695, %r694, 4096;
or.b32 %r696, %r693, %r695;
shl.b32 %r697, %r676, 2;
and.b32 %r698, %r697, 1048576;
or.b32 %r699, %r696, %r698;
shl.b32 %r700, %r676, 9;
and.b32 %r701, %r700, 268435456;
or.b32 %r253, %r699, %r701;

	{ 
.reg .u32 a,b,r,s,t,u,v,w; 
mov.b32 a,%r253; 
mov.b32 b,%r272; 
not.b32 u,b; 
xor.b32 s,u,a; 
or.b32 r,a,0x80808080;
and.b32 t,b,0x7f7f7f7f;
sub.u32 r,r,t; 
xor.b32 t,r,a; 
not.b32 u,s; 
and.b32 s,s,0x80808080;
xor.b32 r,r,s; 
and.b32 t,t,u; 
prmt.b32 s,a,0,0xba98; 
xor.b32 s,s,0x7f7f7f7f;
prmt.b32 t,t,0,0xba98; 
and.b32 s,s,t; 
not.b32 t,t; 
and.b32 r,r,t; 
or.b32 r,r,s; 
mov.b32 %r252,r; 
}

	st.shared.u32 [%r339+12484], %r252;
add.s32 %r702, %r673, %r353;
cvt.s64.s32 %rd114, %r702;
add.s64 %rd115, %rd48, %rd114;
